# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  F435Wmag  F475Wmag  F555Wmag  F606Wmag  F625Wmag  F775Wmag  F814Wmag
0.0015467 -1.00000 9.00000 1.7360821962 2.5553338129    1.735  1.509  3.9899  4.080    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 7.660e-01 2.326e-01 2.721e-04 7.479e-05 6.752e-04 -1.000 1.474e-03 0.998 1.205 1.208 1.208 1.208 1.209 1.209 1.212
0.0015467 -1.00000 9.00000 1.7500000000 2.5561455243    1.749  1.533  3.9855  4.042    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 7.657e-01 2.328e-01 2.722e-04 7.460e-05 6.758e-04 -1.000 1.513e-03 0.937 1.129 1.131 1.129 1.128 1.127 1.125 1.127
0.0015467 -1.00000 9.00000 1.7546664476 2.5564143673    1.754  1.541  3.9839  4.028    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 7.657e-01 2.328e-01 2.722e-04 7.459e-05 6.759e-04 -1.000 1.533e-03 0.917 1.103 1.104 1.102 1.100 1.099 1.096 1.098
0.0015467 -1.00000 9.00000 1.7717821598 2.5573865106    1.771  1.571  3.9769  3.974    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 7.656e-01 2.329e-01 2.724e-04 7.459e-05 6.763e-04 -1.000 1.510e-03 0.841 1.005 1.004 0.998 0.994 0.991 0.984 0.984
0.0015467 -1.00000 9.00000 1.7862676382 2.5581925440    1.785  1.598  3.9700  3.924    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 7.654e-01 2.330e-01 2.725e-04 7.460e-05 6.767e-04 -1.000 1.553e-03 0.775 0.919 0.914 0.904 0.899 0.893 0.881 0.880
0.0015467 -1.00000 9.00000 1.7999999523 2.5589429085    1.799  1.626  3.9639  3.875    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 7.653e-01 2.331e-01 2.726e-04 7.461e-05 6.772e-04 -1.000 1.537e-03 0.704 0.833 0.826 0.812 0.804 0.797 0.780 0.778
0.0015467 -1.00000 9.00000 1.8041062355 2.5591647353    1.803  1.636  3.9630  3.863    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 7.653e-01 2.332e-01 2.727e-04 7.461e-05 6.773e-04 -1.000 1.529e-03 0.681 0.807 0.800 0.786 0.777 0.770 0.752 0.750
0.0015467 -1.00000 9.00000 1.8113752604 2.5595545830    1.810  1.663  3.9734  3.879    1  0.000  0.537     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 7.652e-01 2.333e-01 2.727e-04 7.462e-05 6.776e-04 -1.000 1.531e-03 0.613 0.763 0.762 0.755 0.751 0.747 0.738 0.737
0.0015467 -1.00000 9.00000 1.8132301569 2.5596534881    1.812  1.677  3.9832  3.904    1  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 7.652e-01 2.333e-01 2.727e-04 7.462e-05 6.777e-04 -1.000 1.530e-03 0.577 0.755 0.759 0.758 0.757 0.756 0.754 0.754
0.0015467 -1.00000 9.00000 1.8140175343 2.5596954016    1.813  1.692  3.9933  3.930    1  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 7.652e-01 2.333e-01 2.727e-04 7.462e-05 6.778e-04 -1.000 1.529e-03 0.541 0.752 0.761 0.766 0.767 0.769 0.773 0.775
0.0015467 -1.00000 9.00000 1.8144233227 2.5597169861    1.813  1.708  4.0032  3.953    1  0.000  0.536     0.00     0.00     0.00     0.00     0.00 -1    -1e-30      0.00 7.652e-01 2.333e-01 2.727e-04 7.463e-05 6.778e-04 -1.000 1.529e-03 0.501 0.747 0.761 0.771 0.775 0.779 0.789 0.791
